X ; Y ; Vx ; Vy ;
0.070473 ; 0.437046 ; 0.106316 ; 0.189992 ;
0.223397 ; 0.656729 ; 0.213981 ; -0.040150 ;
0.524918 ; 0.542117 ; 0.060856 ; 0.209037 ;
0.460568 ; 0.625632 ; 0.098622 ; 0.194097 ;
0.349340 ; 0.968515 ; 0.217064 ; -0.016826 ;
0.150909 ; 0.063755 ; -0.075433 ; 0.204230 ;
0.269444 ; 0.508216 ; 0.128415 ; -0.175811 ;
0.066457 ; 0.500065 ; -0.057547 ; 0.209972 ;
0.321260 ; 0.647704 ; 0.020272 ; 0.216770 ;
0.331928 ; 0.173891 ; 0.181025 ; 0.120954 ;
0.300805 ; 0.003976 ; 0.213343 ; 0.043412 ;
0.484640 ; 0.791220 ; -0.102290 ; 0.192189 ;
0.232385 ; 0.401802 ; 0.165983 ; 0.140889 ;
0.387355 ; 0.899776 ; 0.131711 ; -0.173356 ;
0.200760 ; 0.554628 ; 0.183670 ; -0.116899 ;
0.466961 ; 0.900392 ; 0.215377 ; 0.031826 ;
0.268227 ; 0.389086 ; 0.134807 ; -0.170959 ;
0.627738 ; 0.664956 ; 0.000764 ; -0.217714 ;
0.490855 ; 0.981875 ; -0.037295 ; 0.214497 ;
0.368767 ; 0.801657 ; -0.036617 ; -0.214614 ;
0.277160 ; 0.123524 ; -0.183497 ; 0.117170 ;
0.899039 ; 0.527046 ; 0.054038 ; 0.210902 ;
0.089632 ; 0.517450 ; -0.198819 ; -0.088719 ;
0.376119 ; 0.167225 ; -0.088523 ; -0.198906 ;
0.240831 ; 0.591975 ; -0.063030 ; -0.130185 ;
0.882169 ; 0.298703 ; 0.000299 ; -0.217715 ;
0.561379 ; 0.940055 ; 0.114010 ; -0.185477 ;
0.217582 ; 0.490056 ; 0.190699 ; -0.105041 ;
0.968725 ; 0.389719 ; -0.186181 ; -0.112856 ;
0.215398 ; 0.685389 ; 0.134316 ; -0.171346 ;
0.427848 ; 0.692721 ; 0.010584 ; 0.217458 ;
0.382589 ; 0.210023 ; 0.130090 ; -0.174576 ;
0.406059 ; 0.838318 ; 0.049215 ; -0.212080 ;
0.889506 ; 0.396742 ; -0.132801 ; -0.172522 ;
0.450992 ; 0.004911 ; 0.179630 ; -0.123017 ;
0.344739 ; 0.841822 ; -0.164826 ; 0.142240 ;
0.186908 ; 0.114985 ; -0.054145 ; 0.210875 ;
0.542521 ; 0.279012 ; 0.175776 ; -0.128463 ;
0.037428 ; 0.027885 ; 0.009054 ; -0.223194 ;
0.560333 ; 0.092402 ; 0.024684 ; -0.216312 ;
0.015741 ; 0.370904 ; -0.139644 ; 0.167031 ;
0.018110 ; 0.438733 ; -0.044218 ; 0.213178 ;
0.118767 ; 0.955376 ; 0.120960 ; 0.181021 ;
0.560956 ; 0.998703 ; 0.125452 ; 0.177938 ;
0.055388 ; 0.865333 ; 0.014133 ; 0.217256 ;
0.416324 ; 0.363676 ; 0.212971 ; -0.045202 ;
0.660137 ; 0.138077 ; -0.140216 ; 0.166552 ;
0.326932 ; 0.036854 ; -0.149079 ; 0.158667 ;
0.409372 ; 0.082683 ; -0.105399 ; -0.190502 ;
0.629463 ; 0.057507 ; -0.019169 ; 0.216870 ;
0.975706 ; 0.224384 ; -0.086968 ; -0.199591 ;
0.009660 ; 0.260397 ; -0.091220 ; 0.197684 ;
0.095291 ; 0.866293 ; -0.166235 ; 0.140591 ;
0.408521 ; 0.152869 ; 0.076324 ; 0.203899 ;
0.604135 ; 0.279758 ; -0.114914 ; -0.184918 ;
0.242498 ; 0.417120 ; 0.095818 ; -0.195496 ;
0.521361 ; 0.529916 ; -0.026106 ; -0.216145 ;
0.897947 ; 0.044271 ; -0.111565 ; -0.186958 ;
0.348515 ; 0.908515 ; -0.020086 ; 0.216787 ;
0.481187 ; 0.082748 ; -0.117222 ; 0.253049 ;
0.801500 ; 0.999627 ; 0.104376 ; 0.191064 ;
0.468453 ; 0.014529 ; -0.172388 ; 0.132976 ;
0.571879 ; 0.377235 ; -0.033122 ; -0.215181 ;
0.204248 ; 0.770843 ; 0.171378 ; 0.134275 ;
0.658711 ; 0.922098 ; -0.066224 ; 0.207399 ;
0.496577 ; 0.349988 ; -0.143963 ; 0.163324 ;
0.651067 ; 0.752262 ; -0.111618 ; 0.186926 ;
0.109114 ; 0.074759 ; 0.161225 ; -0.146309 ;
0.397316 ; 0.801808 ; -0.202566 ; 0.079793 ;
0.029380 ; 0.474763 ; 0.195364 ; -0.096088 ;
0.199601 ; 0.006048 ; -0.103512 ; -0.191534 ;
0.349950 ; 0.783603 ; -0.195481 ; -0.184593 ;
0.924231 ; 0.120835 ; 0.058822 ; -0.209619 ;
0.244505 ; 0.074125 ; -0.143046 ; -0.164127 ;
0.761584 ; 0.160421 ; 0.089732 ; -0.198364 ;
0.257548 ; 0.008935 ; -0.082995 ; 0.201276 ;
0.102081 ; 0.466381 ; 0.075221 ; -0.204308 ;
0.229714 ; 0.217538 ; -0.037760 ; 0.214416 ;
0.596487 ; 0.399874 ; -0.085719 ; 0.200131 ;
0.287856 ; 0.304602 ; -0.074556 ; -0.204552 ;
0.091115 ; 0.652182 ; 0.211789 ; -0.050454 ;
0.440715 ; 0.479683 ; 0.095818 ; -0.195496 ;
0.311319 ; 0.196316 ; 0.177956 ; -0.125426 ;
0.261621 ; 0.805712 ; -0.083606 ; 0.201023 ;
0.362300 ; 0.845896 ; -0.063593 ; 0.208221 ;
0.174660 ; 0.077270 ; -0.116017 ; -0.184228 ;
0.171137 ; 0.444277 ; -0.161225 ; -0.146309 ;
0.647846 ; 0.334779 ; 0.020046 ; -0.216791 ;
0.965259 ; 0.692428 ; -0.166394 ; 0.140403 ;
